Season,Name,Tm,PA,AVG,OBP,SLG,OPS,wOBA,wRC+,K%,BB%
2026,Los Angeles Dodgers,LAD,20,0.529,0.6,0.824,1.424,0.45,140.6,0.15,0.15
2026,Pittsburgh Pirates,PIT,25,0.435,0.48,0.478,0.958,0.45,140.6,0.08,0.08
2026,Houston Astros,HOU,37,0.433,0.514,1.0,1.514,0.45,140.6,0.081,0.081
2026,Atlanta Braves,ATL,34,0.433,0.5,0.633,1.133,0.45,140.6,0.118,0.118
2026,San Francisco Giants,SF,23,0.429,0.478,0.571,1.049,0.45,140.6,0.217,0.043
2026,Washington Nationals,WSH,25,0.429,0.52,0.905,1.425,0.45,140.6,0.36,0.16
2026,Kansas City Royals,KC,23,0.4,0.478,0.55,1.028,0.45,140.6,0.13,0.13
2026,Arizona Diamondbacks,ARI,29,0.393,0.414,0.75,1.164,0.45,140.6,0.207,0.034
2026,Chicago Cubs,CHC,32,0.393,0.469,0.643,1.112,0.45,140.6,0.156,0.125
2026,St. Louis Cardinals,STL,21,0.389,0.4,0.389,0.789,0.3960714285714286,123.8,0.095,0.048
2026,Los Angeles Angels,LAA,22,0.381,0.381,0.905,1.286,0.45,140.6,0.273,0.02
2026,Miami Marlins,MIA,29,0.37,0.379,0.593,0.972,0.45,140.6,0.069,0.034
2026,Seattle Mariners,SEA,22,0.368,0.455,0.579,1.034,0.45,140.6,0.227,0.091
2026,New York Mets,NYM,21,0.368,0.429,0.421,0.85,0.42614285714285716,133.2,0.143,0.048
2026,Texas Rangers,TEX,29,0.357,0.379,0.571,0.95,0.4475714285714286,139.9,0.207,0.034
2026,Cincinnati Reds,CIN,24,0.353,0.542,0.824,1.366,0.45,140.6,0.167,0.25
2026,Toronto Blue Jays,TOR,20,0.353,0.45,0.588,1.038,0.45,140.6,0.1,0.1
2026,Cleveland Guardians,CLE,22,0.35,0.409,0.55,0.959,0.45,140.6,0.136,0.091
2026,Boston Red Sox,BOS,26,0.333,0.385,0.375,0.76,0.38142857142857145,119.2,0.231,0.077
2026,Colorado Rockies,COL,21,0.333,0.429,0.389,0.818,0.41471428571428576,129.6,0.143,0.143
2026,New York Yankees,NYY,21,0.333,0.429,0.833,1.262,0.45,140.6,0.333,0.143
2026,Chicago White Sox,CWS,25,0.318,0.375,0.5,0.875,0.4196428571428572,131.1,0.24,0.08
2026,Detroit Tigers,DET,23,0.313,0.522,0.375,0.897,0.45,140.6,0.261,0.25
2026,Minnesota Twins,MIN,45,0.313,0.489,0.469,0.958,0.45,140.6,0.111,0.244
2026,Milwaukee Brewers,MIL,21,0.313,0.421,0.313,0.734,0.38242857142857145,119.5,0.19,0.143
