game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,lock_tier,lock_dollars,lock_edge,lock_p_model,lock_p_true,lock_retail_implied,lock_sanity_pass,lock_odds_floor_pass,lock_edge_pass,xgb_rl_raw,ensemble_min,ensemble_max,model_spread,p_std,variance_gate,p_std_away,variance_gate_away,away_lock_tier,away_lock_dollars,away_lock_edge,away_lock_p_model,away_lock_p_true,away_lock_retail_implied,away_lock_sanity_pass,away_lock_odds_floor_pass,away_lock_edge_pass,ml_lock_tier,ml_lock_dollars,ml_lock_edge,ml_lock_p_model,ml_lock_p_true,ml_lock_retail_implied,ml_lock_sanity_pass,ml_lock_edge_pass,ou_lock_tier,ou_lock_dollars,ou_lock_edge,ou_direction,ou_posted_line,ou_p_model,ou_p_true,ou_p_retail,ou_lock_sanity_pass,ou_lock_edge_pass,mc_over_prob,p_true_over,p_true_under,retail_implied_over,retail_implied_under,mc_total_lo,mc_total_hi,total_floor_10th,total_ceiling_90th,total_variance_spread,home_k_line,home_k_model_over,home_k_implied_over,home_k_edge,home_k_over_odds,home_k_under_odds,away_k_line,away_k_model_over,away_k_implied_over,away_k_edge,away_k_over_odds,away_k_under_odds,pp_home_k_line,pp_home_k_model,pp_home_k_edge,pp_away_k_line,pp_away_k_model,pp_away_k_edge,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_away_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65,ump_k_above_avg,mc_f5_home_runs_lo,mc_f5_home_runs_hi,mc_f5_away_runs_lo,mc_f5_away_runs_hi,mc_f5_total_lo,mc_f5_total_hi,batter_props,f5_xgb_l1,f5_stacker_l2,f5_team_log_odds,vegas_pick
PHI @ CHC,CHC,PHI,COLIN REA,AARON NOLA,NORMAL,NORMAL,0.3097,0.3209,48.2,0.449,0.3,0.39,0.554,0.353,0.647,5.1,3.8,2.0,7.0,2.0,5.0,8.9,9.04,-115,-105,7.5,-183,,,0.535,RL -1.5 (away),0.39,0.39,0.38,163.0,0.0094,,False,0.01,,,,0.3658,0.627923,0.618768,False,False,False,0.4152,0.3901,0.5519,0.1618,0.0107,True,0.0113,True,,,,0.6342,0.372077,0.381232,False,False,False,1.0,7.22,0.0308,0.5416,0.502357,0.510834,True,True,1.0,13.05,0.0393,OVER,7.5,0.5501,0.511462,0.510834,True,True,0.5501,0.511462,0.488538,0.510834,0.489166,5.0,12.0,4.65,14.98,10.33,4.5,0.3642,0.4576,-0.0934,116.0,-154.0,5.5,0.4191,0.4505,-0.0314,116.0,-154.0,4.0,0.3642,-0.1358,5.0,0.4191,-0.0809,AWAY +1.5 *,OVER 7.5,False,7:40 pm ET,,,2.8,2.14,4.93,0.5272,0.2951,0.3425,0.3711,0.4285,0.3507,0.558,0.429,3.96,5.22,0.542,0.3642,0.2255,0.1284,0.732,0.5763,0.4191,0.2848,0.0,2.0,4.0,1.0,3.0,3.0,6.0,[],0.719,0.606,-0.469,
ATL @ WSH,WSH,ATL,JAKE IRVIN,BRYCE ELDER,NORMAL,NORMAL,0.3363,0.2888,50.7,0.262,0.235,0.251,0.35,0.189,0.811,4.2,5.5,2.0,6.0,3.0,7.0,9.68,9.81,135,-163,8.0,-120,,,0.426,RL +1.5 (home),0.749,0.749,0.545,-120.0,0.2032,**,False,0.204,,,,0.3376,0.530567,0.521739,False,False,False,0.32,0.32,0.4298,0.1098,0.0135,True,0.0131,True,,,,0.6624,0.469433,0.478261,False,False,False,,,-0.008,0.3991,0.40856,0.407089,True,False,2.0,0.27,0.0143,OVER,8.0,0.5251,0.49771,0.510834,True,True,0.5251,0.49771,0.50229,0.510834,0.489166,6.0,12.0,5.07,15.89,10.82,3.5,0.6797,0.5349,0.1448,-130.0,-102.0,4.5,0.4944,0.414,0.0804,130.0,-174.0,3.5,0.6797,0.1797,4.0,0.4944,-0.0056,AWAY +1.5 **,OVER 8.0,False,6:45 pm ET,,,2.31,2.98,5.29,0.3008,0.5246,0.1675,0.3462,0.37,0.4504,0.461,0.598,4.82,4.71,0.6797,0.5117,0.3551,0.2286,0.665,0.4944,0.3399,0.2152,0.0,1.0,3.0,2.0,4.0,4.0,7.0,[],0.45,0.423,-1.156,
STL @ MIA,MIA,STL,MAX MEYER,MICHAEL MCGREEVY,NORMAL,VOLATILE,0.3317,0.4117,74.2,0.438,0.388,0.418,0.524,0.357,0.643,6.1,5.1,3.0,8.0,2.0,7.0,11.27,10.7,-131,109,8.5,153,,,0.567,RL -1.5 (home),0.418,0.418,0.395,153.0,0.0225,,False,0.023,,,,0.4545,0.36631,0.378017,False,False,False,0.525,0.3733,0.6079,0.2346,0.0153,True,0.0157,True,,,,0.5455,0.63369,0.621983,False,False,False,,,0.0098,0.5522,0.540197,0.542384,True,False,,,,OVER,8.5,0.6345,0.520571,0.5,False,False,0.6345,0.520571,0.479429,0.5,0.5,7.0,14.0,4.95,15.43,10.48,4.5,0.5216,0.5446,-0.023,-140.0,105.0,3.5,0.4348,0.4115,0.0233,124.0,-166.0,5.0,0.3668,-0.1332,3.0,0.4348,-0.0652,,OVER 8.5,False,6:40 pm ET,,,3.92,2.94,6.86,0.571,0.2828,0.4167,0.2533,0.5437,0.4448,0.787,0.584,4.89,3.39,0.6883,0.5216,0.3668,0.237,0.4348,0.2624,0.1399,0.0691,0.0,3.0,5.0,2.0,4.0,5.0,9.0,[],0.673,0.64,0.694,
HOU @ CLE,CLE,HOU,SLADE CECCONI,SPENCER ARRIGHETTI,NORMAL,NORMAL,0.2902,0.3297,36.8,0.349,0.365,0.356,0.449,0.263,0.737,4.7,4.6,2.0,6.0,2.0,6.0,9.28,9.42,-115,-105,7.5,-190,,,0.535,ML (away),0.526,0.551,0.512,-105.0,0.0137,,False,0.039,,,,0.41,0.336744,0.626481,False,False,False,0.4982,0.4031,0.6312,0.2281,0.0156,True,0.0159,True,,,,0.59,0.663256,0.373519,False,False,False,,,-0.0061,0.5047,0.516421,0.510834,True,False,,,,OVER,7.5,0.5935,0.50458,0.508664,False,False,0.5935,0.50458,0.49542,0.508664,0.491336,6.0,12.0,5.02,15.41,10.39,3.5,0.5372,0.5717,-0.0345,-158.0,118.0,5.5,0.4544,0.4554,-0.001,105.0,-140.0,4.0,0.3591,-0.1409,5.0,0.4544,-0.0456,AWAY +1.5 *,OVER 7.5,False,6:10 pm ET,,,2.47,2.26,4.73,0.4455,0.3688,0.2681,0.3876,0.3906,0.3641,0.491,0.451,3.93,5.46,0.5372,0.3591,0.2177,0.1202,0.7583,0.6085,0.4544,0.3154,0.0,1.0,3.0,1.0,3.0,3.0,6.0,[],0.708,0.609,-0.178,
DET @ BOS,BOS,DET,SONNY GRAY,JACK FLAHERTY,NORMAL,NORMAL,0.3288,0.332,44.4,0.335,0.299,0.321,0.438,0.247,0.753,4.3,4.4,2.0,6.0,2.0,6.0,8.67,8.9,-136,113,8.0,149,,,0.576,RL +1.5 (away),0.679,0.679,0.563,-129.0,0.1161,**,False,0.116,,,-0.0425,0.3415,0.380852,0.384042,True,True,False,0.4135,0.3674,0.4313,0.0639,0.0185,True,0.0187,True,1.0,50.0,0.0425,0.6585,0.619148,0.615958,True,True,True,,,-0.0233,0.5278,0.554264,0.551058,True,False,,,,OVER,8.0,0.4437,0.5,0.489166,False,False,0.4437,0.5,0.5,0.489166,0.510834,5.0,11.0,4.82,14.75,9.92,5.5,0.2995,0.4572,-0.1577,104.0,-138.0,5.5,0.4875,0.5589,-0.0714,-148.0,112.0,5.0,0.2995,-0.2005,6.0,0.3509,-0.1491,AWAY +1.5 **,OVER 8.0,True,11:10 am ET,92.1,109.3,2.55,2.55,5.1,0.4072,0.4096,0.2421,0.3599,0.399,0.4012,0.508,0.511,4.47,5.7,0.6271,0.4516,0.2995,0.1839,0.7801,0.639,0.4875,0.3509,0.0121,1.0,4.0,1.0,4.0,3.0,7.0,"[{'player': 'Kevin McGonigle', 'side': 'away', 'team': 'DET', 'pos': 1, 'hit_prob': 0.713, 'hr_prob': 0.104, 'pa_season': 90, 'avg': 0.316, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': 0.5, 'pp_hr_edge': -0.3957}, {'player': 'Dillon Dingler', 'side': 'away', 'team': 'DET', 'pos': 5, 'hit_prob': 0.651, 'hr_prob': 0.101, 'pa_season': 73, 'avg': 0.325, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': 0.5, 'pp_hr_edge': -0.3987}]",0.573,0.515,-0.429,
BAL @ KC,KC,BAL,SETH LUGO,KYLE BRADISH,NORMAL,NORMAL,0.3169,0.3019,71.2,0.251,0.266,0.257,0.338,0.181,0.819,3.9,5.2,2.0,5.0,2.0,7.0,9.07,9.15,-102,-118,9.0,-163,,,0.505,RL +1.5 (home),0.743,0.743,0.62,-163.0,0.1234,**,False,0.123,,,,0.3786,0.593301,0.592911,False,False,False,0.3668,0.3441,0.4188,0.0747,0.0174,True,0.017,True,,,,0.6214,0.406699,0.407089,False,False,False,,,-0.036,0.4466,0.475769,0.482636,True,False,,,,OVER,9.0,0.394,0.5,0.489166,False,False,0.394,0.5,0.5,0.489166,0.510834,5.0,12.0,4.67,14.84,10.17,5.5,0.4122,0.5229,-0.1107,-136.0,102.0,4.5,0.5179,0.5731,-0.0552,-166.0,124.0,5.5,0.4122,-0.0878,5.0,0.3613,-0.1387,AWAY +1.5 **,,False,7:40 pm ET,,,2.15,2.6,4.74,0.3242,0.4862,0.1773,0.3867,0.3488,0.4062,0.425,0.52,5.19,4.85,0.727,0.5698,0.4122,0.2768,0.6832,0.5179,0.3613,0.2341,0.0,1.0,3.0,1.0,4.0,3.0,6.0,[],0.673,0.6,0.079,
CIN @ TB,TB,CIN,TBD,RHETT LOWDER,,,,,,,,,,,,,,,,,,,,-122,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,6:40 pm ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.797,0.797,2.347,TB
LAD @ COL,COL,LAD,JOSE QUINTANA,JUSTIN WROBLESKI,NORMAL,VOLATILE,0.379,0.3674,79.7,0.296,0.342,0.314,0.36,0.24,0.76,6.6,8.3,3.0,9.0,5.0,11.0,14.95,12.73,,,,,,,,,0.3143,0.3143,,,0.0,,False,0.0,,,,0.3878,,,False,False,False,0.4694,0.3868,0.4984,0.1116,0.0188,True,0.019,True,,,,0.6122,,,False,False,False,,,,0.3605,,,False,False,,,,OVER,,,,,False,False,,,,,,10.0,19.0,5.47,14.3,8.82,,,,,,,,,,,,,3.0,0.2559,-0.2441,4.0,0.2609,-0.2391,AWAY +1.5 **,,False,8:40 pm ET,,,4.18,5.39,9.57,0.2887,0.5917,0.1884,0.1435,0.5763,0.6614,0.858,1.091,2.54,3.39,0.2559,0.1245,0.0556,0.0222,0.4324,0.2609,0.1435,0.0716,0.0,3.0,5.0,4.0,7.0,7.0,12.0,[],0.316,0.375,-1.141,
TOR @ LAA,LAA,TOR,REID DETMERS,DYLAN CEASE,VOLATILE,NORMAL,0.2647,0.2842,74.4,0.411,0.369,0.394,0.519,0.317,0.683,4.6,3.7,2.0,6.0,2.0,5.0,8.36,8.69,,,,,,,,,0.3943,0.3943,,,0.0,,False,0.0,,,,0.428,,,False,False,False,0.5023,0.3529,0.6115,0.2586,0.0135,True,0.0135,True,,,,0.572,,,False,False,False,,,,0.5192,,,False,False,,,,OVER,,,,,False,False,,,,,,5.0,11.0,4.98,15.11,10.14,,,,,,,,,,,,,5.5,0.517,0.017,7.5,,,AWAY +1.5 *,,False,9:38 pm ET,,,2.31,1.8,4.11,0.4979,0.3002,0.3021,0.4389,0.3704,0.3029,0.455,0.362,5.88,7.76,0.8016,0.6666,0.517,0.3767,0.919,0.8416,0.7389,0.6201,0.0,1.0,3.0,1.0,3.0,3.0,5.0,[],0.669,0.573,-0.512,
ATH @ SEA,SEA,ATH,EMERSON HANCOCK,J.T. GINN,NORMAL,GAINER,0.2983,0.2908,65.0,0.349,0.438,0.385,0.458,0.257,0.743,4.1,3.9,2.0,6.0,2.0,5.0,8.03,8.54,,,,,,,,,0.3847,0.3847,,,0.0,,False,0.0,,,,0.4613,,,False,False,False,0.5835,0.375,0.6131,0.2381,0.0126,True,0.0129,True,,,,0.5387,,,False,False,False,,,,0.4582,,,False,False,,,,OVER,,,,,False,False,,,,,,5.0,10.0,5.15,14.58,9.43,,,,,,,,,,,,,5.0,0.5277,0.0277,4.5,0.3175,-0.1825,AWAY +1.5 *,,False,9:40 pm ET,,,2.13,2.2,4.33,0.387,0.4143,0.2169,0.4262,0.3372,0.3569,0.405,0.442,5.98,3.72,0.8103,0.6759,0.5277,0.3883,0.4979,0.3175,0.1869,0.0996,0.0,1.0,3.0,1.0,3.0,3.0,6.0,[],0.613,0.61,0.411,
